# learning_proof.py - per-tensor weight-delta forensic listing
# generated: 2026-09-24T08:25:03+00:00
# comparison: checkpoint-200_vs_checkpoint-1869 (steps 200 -> 1869)
# scheme: SHA16 = first 16 hex of sha256(key|dtype|shape|raw_bytes); RELCHG = ||delta||_F / ||earliest_weights||_F; eps thresholds are relative to the EARLIEST tensor std
# global: mean_abs=0.0142416 std_abs=0.0220793 max_abs=0.990325 frac_tensors_changed=1 frac_params_nz=0.999993 rel_l2=1.04187

# DELTA rows: KEY SHAPE NUMEL ABSMEAN ABSMED ABSSTD ABSMAX FRAC_NZ FRAC_GT_1E-6STD FRAC_GT_1E-4STD FRAC_GT_1E-3STD FRAC_GT_1E-2STD RELCHG L2_DELTA L2_W_EARLY NAN INF SHA16_EARLY SHA16_LATE
DELTA	KEY	SHAPE	NUMEL	ABSMEAN	ABSMED	ABSSTD	ABSMAX	FRAC_NZ	GT1E-6STD	GT1E-4STD	GT1E-3STD	GT1E-2STD	RELCHG	L2_DELTA	L2_W_EARLY	NAN	INF	SHA16_EARLY	SHA16_LATE
DELTA	model.layers.1.self_attn.q_proj.weight	[768,768]	589824	0.034714	0.0267502	0.0299865	0.283174	1	1	0.999941	0.999503	0.994999	2.15461	35.2297	16.3509	0	0	dfb597731127c592	8e26fff289486137
DELTA	model.layers.1.self_attn.v_proj.bias	[256]	256	0.000787136	0.000439432	0.00101924	0.00861498	1	1	1	0.980469	0.929688	0.214039	0.0205796	0.0961492	0	0	0ab905e4fdba26f9	31186863bf5b99b2
DELTA	model.layers.1.self_attn.v_proj.weight	[256,768]	196608	0.00407643	0.00177685	0.0075484	0.296834	1	0.99999	0.999186	0.992142	0.919851	0.411774	3.80387	9.23777	0	0	7bb453f97175e59d	4498caadedc55fa7
DELTA	model.layers.10.input_layernorm.weight	[768]	768	0.0304638	0.0235877	0.026539	0.201944	1	1	1	1	0.998698	0.0405552	1.11935	27.6007	0	0	6cb50f7e5e20bbd1	0c14f1d3d91f1e67
DELTA	model.layers.10.mlp.down_proj.weight	[768,3072]	2359296	0.0240486	0.0128241	0.0302614	0.990325	1	0.999999	0.999822	0.998349	0.983526	1.78043	59.3717	33.3469	0	0	e741e85a38a3f24b	8f443b8f0064df93
DELTA	model.layers.10.mlp.gate_proj.weight	[3072,768]	2359296	0.0231623	0.010056	0.0317513	0.424025	1	0.999998	0.99973	0.997364	0.974049	1.84048	60.3677	32.7999	0	0	7e3100a928994f88	06896058fe07c71d
DELTA	model.layers.10.mlp.up_proj.weight	[3072,768]	2359296	0.0230524	0.0110618	0.0307879	0.468186	1	0.999998	0.999806	0.998105	0.980832	1.8043	59.0772	32.7424	0	0	2362ecbe24c5d78c	b4f17a6d2406722b
DELTA	model.layers.10.post_attention_layernorm.weight	[768]	768	0.0833891	0.0767431	0.0554982	0.377156	1	1	1	1	1	0.100131	2.7754	27.7177	0	0	b2c09c4021ed5d7e	574c0ac978b10af8
DELTA	model.layers.10.self_attn.k_proj.bias	[256]	256	0.0433691	0.0359103	0.0338192	0.19748	1	1	1	0.996094	0.996094	6.71701	0.879294	0.130906	0	0	9f9fb9a514545dd6	1b9543934ad34cca
DELTA	model.layers.10.self_attn.k_proj.weight	[256,768]	196608	0.0361254	0.0287154	0.0299337	0.272863	1	1	0.999949	0.999552	0.995794	2.2028	20.8026	9.44371	0	0	10c32633fd9616c3	9ac7e637fbf55630
DELTA	model.layers.10.self_attn.o_proj.weight	[768,768]	589824	0.0106401	0.00676084	0.0153999	0.554703	1	0.999998	0.99979	0.997989	0.979826	0.889071	14.3755	16.1692	0	0	0211667e07dc072f	732d49f43975c877
DELTA	model.layers.10.self_attn.q_proj.bias	[768]	768	0.0375791	0.0279064	0.0324376	0.186248	1	1	1	0.998698	0.998698	6.77045	1.37535	0.203141	0	0	8739732bfb2873cf	17afc2a31c849e7b
DELTA	model.layers.10.self_attn.q_proj.weight	[768,768]	589824	0.0426873	0.0349061	0.0338994	0.277094	1	1	0.999958	0.999664	0.996724	2.56357	41.8639	16.3303	0	0	28824f1a59a19109	a425be3fce024edc
DELTA	model.layers.10.self_attn.v_proj.bias	[256]	256	0.00438704	0.00291182	0.00435692	0.0334322	1	1	1	1	0.996094	0.872312	0.0988313	0.113298	0	0	4633b111414b0f53	bcfb2f8eee614258
DELTA	model.layers.10.self_attn.v_proj.weight	[256,768]	196608	0.0107987	0.0068233	0.012588	0.178668	1	1	0.999781	0.998082	0.980586	0.794393	7.35395	9.25733	0	0	e9651b4012a37242	903e41dcbdba83ea
DELTA	model.layers.2.input_layernorm.weight	[768]	768	0.0414784	0.0339	0.033946	0.207279	1	1	1	1	1	0.0537046	1.48498	27.6508	0	0	b02846cf0211f487	aa11cfda526fd7a5
DELTA	model.layers.2.mlp.down_proj.weight	[768,3072]	2359296	0.00502427	0.00197473	0.00986004	0.578191	1	0.999993	0.999173	0.991513	0.915429	0.518626	16.9979	32.7749	0	0	5a6b91ab25544b2d	843480df81a1585a
DELTA	model.layers.2.mlp.gate_proj.weight	[3072,768]	2359296	0.00348842	0.00135682	0.00629194	0.19276	1	0.999988	0.998895	0.988756	0.890383	0.342261	11.0504	32.2865	0	0	2f06f617feeb8475	3f69dab9fe60ced8
DELTA	model.layers.2.mlp.up_proj.weight	[3072,768]	2359296	0.00350068	0.00141454	0.00627996	0.227964	0.999999	0.999989	0.998944	0.989402	0.895001	0.342171	11.0435	32.2747	0	0	8c0fc3c109f72690	49e838aeb0a23029
DELTA	model.layers.2.post_attention_layernorm.weight	[768]	768	0.0521847	0.0431266	0.0365726	0.308576	1	1	1	1	1	0.0638958	1.7656	27.6325	0	0	333ac185022a1349	f249d4ddaacc9e0d
DELTA	model.layers.2.self_attn.k_proj.bias	[256]	256	0.044233	0.0314831	0.0377246	0.204433	1	1	1	1	0.996094	9.89592	0.929397	0.0939173	0	0	7992bc41994dfae8	ae8d7b0e2ebf6e19
DELTA	model.layers.2.self_attn.k_proj.weight	[256,768]	196608	0.0409573	0.0331131	0.0333205	0.337639	1	1	0.999985	0.999685	0.996643	2.52827	23.4114	9.25984	0	0	d14c408d27d68d5a	7c2d819197a06354
DELTA	model.layers.2.self_attn.o_proj.weight	[768,768]	589824	0.00661989	0.00278182	0.0119249	0.573702	1	0.999998	0.999474	0.994466	0.94525	0.653857	10.4749	16.0201	0	0	a3027fd3b894251d	8ce5a991a1afdcdf
DELTA	model.layers.2.self_attn.q_proj.bias	[768]	768	0.0446348	0.0374629	0.035485	0.276571	1	1	1	1	0.998698	9.50184	1.57983	0.166265	0	0	f5ba7be44e473f84	b02828bb374f125a
DELTA	model.layers.2.self_attn.q_proj.weight	[768,768]	589824	0.0444655	0.0362823	0.0355305	0.340705	1	1	0.999969	0.999697	0.996857	2.7178	43.7126	16.0838	0	0	a74fca59cad2f2df	f57c4db86164b268
DELTA	model.layers.2.self_attn.v_proj.bias	[256]	256	0.00165506	0.00087438	0.00203802	0.0136466	1	1	1	1	0.976562	0.424209	0.0419571	0.0989067	0	0	5e59b9696573a30d	8853237d6dd48ec7
DELTA	model.layers.2.self_attn.v_proj.weight	[256,768]	196608	0.00515596	0.00197503	0.011706	0.414168	1	0.999995	0.999262	0.992635	0.927114	0.614721	5.67167	9.2264	0	0	40012303b0de46bd	d5122dbf027c6d32
DELTA	model.layers.3.input_layernorm.weight	[768]	768	0.034368	0.0274688	0.0281033	0.163836	1	1	1	1	0.997396	0.044509	1.23	27.6348	0	0	98d802eda91617aa	426d75b2338749d5
DELTA	model.layers.3.mlp.down_proj.weight	[768,3072]	2359296	0.00500833	0.00204714	0.00939917	0.480478	1	0.999992	0.999205	0.991983	0.920016	0.499843	16.3588	32.7278	0	0	d323964ddedaacd9	3000780074726903
DELTA	model.layers.3.mlp.gate_proj.weight	[3072,768]	2359296	0.00356073	0.0014385	0.00683937	0.31444	1	0.999989	0.998995	0.989619	0.897939	0.366699	11.8437	32.2982	0	0	9fdcbab07e9ba2d2	84507cddbdeb903c
DELTA	model.layers.3.mlp.up_proj.weight	[3072,768]	2359296	0.00354931	0.00150716	0.00665713	0.307107	0.999999	0.99999	0.99903	0.990141	0.902356	0.359018	11.5879	32.2766	0	0	bc149ad1f9810f90	bdb4cd5deb987aaf
DELTA	model.layers.3.post_attention_layernorm.weight	[768]	768	0.0479701	0.0374201	0.0421163	0.291503	1	1	1	1	1	0.0639482	1.76855	27.6559	0	0	389810c1428b7578	ac7f72fac0749138
DELTA	model.layers.3.self_attn.k_proj.bias	[256]	256	0.0508271	0.0369079	0.0452941	0.24268	1	1	1	1	0.996094	11.6266	1.08835	0.0936085	0	0	6c16951beda155ad	a261c7f3914ad82c
DELTA	model.layers.3.self_attn.k_proj.weight	[256,768]	196608	0.0361346	0.0276774	0.0318348	0.314786	1	1	0.999944	0.999476	0.99501	2.30645	21.3533	9.2581	0	0	90c8facdf395ed38	2aad396f839d4897
DELTA	model.layers.3.self_attn.o_proj.weight	[768,768]	589824	0.00671019	0.0030192	0.0129743	0.661599	1	0.999997	0.999483	0.995058	0.950806	0.698376	11.218	16.063	0	0	578b80a28d7157d3	02eed53a9d5f2524
DELTA	model.layers.3.self_attn.q_proj.bias	[768]	768	0.0413689	0.0333686	0.0345872	0.224141	1	1	1	1	0.998698	8.93854	1.49395	0.167136	0	0	a1e95ddcbc722095	999ca2f0374dede8
DELTA	model.layers.3.self_attn.q_proj.weight	[768,768]	589824	0.0393239	0.0302701	0.0343003	0.318828	0.999998	0.999998	0.999949	0.999461	0.995221	2.4985	40.0752	16.0397	0	0	cd9e8ba1dfbcba0c	c13fc064f472b8a1
DELTA	model.layers.3.self_attn.v_proj.bias	[256]	256	0.00416728	0.00220865	0.00492872	0.0247763	1	1	1	1	0.964844	1.02578	0.103152	0.10056	0	0	5bc1286874f3b29d	7973720bec4f29c3
DELTA	model.layers.3.self_attn.v_proj.weight	[256,768]	196608	0.00617576	0.00264243	0.0111277	0.279977	1	0.99999	0.999441	0.99438	0.943837	0.610323	5.64302	9.24596	0	0	d140177e9beedb9b	cb64f8cde0e32b31
DELTA	model.layers.4.input_layernorm.weight	[768]	768	0.0233949	0.0205188	0.0156865	0.104198	1	1	1	1	1	0.0282435	0.780434	27.6323	0	0	96e83bb68b6fadec	346e619e15efcb70
DELTA	model.layers.4.mlp.down_proj.weight	[768,3072]	2359296	0.00644762	0.00267754	0.0116001	0.624124	1	0.999992	0.999359	0.993423	0.934811	0.620831	20.3851	32.8351	0	0	17886c095fcc9ee7	5d39f42a75b46921
DELTA	model.layers.4.mlp.gate_proj.weight	[3072,768]	2359296	0.00462273	0.00180659	0.00847557	0.263271	1	0.999991	0.999104	0.991211	0.91281	0.457761	14.829	32.3946	0	0	1309e996fb85a79e	f0e6e9f4489351b0
DELTA	model.layers.4.mlp.up_proj.weight	[3072,768]	2359296	0.0046433	0.00193992	0.0085418	0.363766	1	0.999993	0.999173	0.991887	0.919489	0.462073	14.9334	32.3183	0	0	3919460653ab76cf	cc8c47a50e1456c0
DELTA	model.layers.4.post_attention_layernorm.weight	[768]	768	0.050837	0.040726	0.0443144	0.318251	1	1	1	1	0.997396	0.0675842	1.86843	27.646	0	0	e37217637288beca	feebacc6a9e3c9cd
DELTA	model.layers.4.self_attn.k_proj.bias	[256]	256	0.0343314	0.0260504	0.0286401	0.148256	1	1	1	1	1	6.76098	0.714772	0.10572	0	0	1fcbb33586dc5c93	3934d8c2e920fcb1
DELTA	model.layers.4.self_attn.k_proj.weight	[256,768]	196608	0.0328661	0.0251779	0.0286509	0.258535	1	0.999995	0.999954	0.999527	0.99498	2.08352	19.3329	9.27897	0	0	34e512e68e7df6b8	9e64209b7966a303
DELTA	model.layers.4.self_attn.o_proj.weight	[768,768]	589824	0.00614526	0.00322955	0.0115095	0.636251	0.999998	0.999995	0.999551	0.995677	0.956068	0.623416	10.0203	16.0732	0	0	f02b1114db5ef281	96452f16785ca9e4
DELTA	model.layers.4.self_attn.q_proj.bias	[768]	768	0.0370524	0.0276884	0.0337076	0.2116	1	1	1	1	0.998698	8.12829	1.38775	0.17073	0	0	4ff2d7cff7ae71a4	c7d1c125423a1d04
DELTA	model.layers.4.self_attn.q_proj.weight	[768,768]	589824	0.0344919	0.026683	0.0296933	0.27134	1	1	0.999939	0.999496	0.995029	2.17481	34.9535	16.072	0	0	7e8b32b05fd1a105	fb28d53b2d2b48f2
DELTA	model.layers.4.self_attn.v_proj.bias	[256]	256	0.00640683	0.00385732	0.00688531	0.0389416	1	1	1	1	0.984375	1.3568	0.150323	0.110793	0	0	b04dea8fc2a4e2c7	0aae0be2a004de4b
DELTA	model.layers.4.self_attn.v_proj.weight	[256,768]	196608	0.00509522	0.00276154	0.00700343	0.129499	1	0.999985	0.999512	0.994741	0.948685	0.414054	3.84023	9.27472	0	0	e24ff059ab442351	77940dc796c133e6
DELTA	model.layers.5.input_layernorm.weight	[768]	768	0.0199172	0.0183645	0.012335	0.0851913	1	1	1	1	1	0.0235005	0.649125	27.6217	0	0	5e9848a76b005e42	16585a716d86969a
DELTA	model.layers.5.mlp.down_proj.weight	[768,3072]	2359296	0.00786688	0.00321542	0.0138289	0.546074	1	0.999996	0.999459	0.994443	0.9444	0.744191	24.4376	32.8378	0	0	1e8676fcb3397770	b8d8e851c8f2e4ce
DELTA	model.layers.5.mlp.gate_proj.weight	[3072,768]	2359296	0.0058319	0.00208632	0.0110424	0.268319	1	0.999992	0.999218	0.992082	0.922932	0.592508	19.1812	32.3729	0	0	c411ec2811f84081	1cce4f12efbaf418
DELTA	model.layers.5.mlp.up_proj.weight	[3072,768]	2359296	0.00594957	0.00227333	0.0116132	0.337385	1	0.999991	0.999268	0.992895	0.929278	0.620145	20.0425	32.3191	0	0	bb89d1a4253ca231	04056f9adb9b0824
DELTA	model.layers.5.post_attention_layernorm.weight	[768]	768	0.0542137	0.0412662	0.0484873	0.328581	1	1	1	1	1	0.0728964	2.01506	27.6428	0	0	1f353c8eb7bba912	45787bc6a987a32e
DELTA	model.layers.5.self_attn.k_proj.bias	[256]	256	0.0310026	0.0209245	0.0299423	0.161283	1	1	1	1	0.996094	6.79184	0.688967	0.10144	0	0	f67332266830beaf	8765f3b799915c74
DELTA	model.layers.5.self_attn.k_proj.weight	[256,768]	196608	0.0268715	0.0190946	0.0256567	0.245675	1	1	0.999893	0.999232	0.992371	1.77395	16.4738	9.28647	0	0	a2a69229ecdeb5a5	68d9598ab0ba8616
DELTA	model.layers.5.self_attn.o_proj.weight	[768,768]	589824	0.00588345	0.00332422	0.0111585	0.506564	1	0.999997	0.999639	0.995887	0.958703	0.601233	9.68801	16.1136	0	0	b24024aa2f021fa9	8c42bd54c6204f99
DELTA	model.layers.5.self_attn.q_proj.bias	[768]	768	0.0311578	0.0211704	0.0297036	0.185303	1	1	1	1	0.998698	7.11289	1.19261	0.167668	0	0	82ddd394cc33f0f1	762787ac65007575
DELTA	model.layers.5.self_attn.q_proj.weight	[768,768]	589824	0.0286671	0.02071	0.0268175	0.272886	1	0.999998	0.999915	0.999264	0.992711	1.87413	30.1481	16.0864	0	0	ab115b1878bc21f9	56d58b1aa098a00b
DELTA	model.layers.5.self_attn.v_proj.bias	[256]	256	0.00605706	0.00524324	0.00476822	0.0305609	1	1	1	0.996094	0.988281	1.10775	0.123247	0.111258	0	0	7b73dd14fead0eb5	cf60bb18a4029954
DELTA	model.layers.5.self_attn.v_proj.weight	[256,768]	196608	0.00493141	0.0028891	0.00614539	0.14012	1	0.99999	0.999557	0.995504	0.952952	0.377985	3.49375	9.24309	0	0	53219d4366c4eb13	360635fca035d652
DELTA	model.layers.6.input_layernorm.weight	[768]	768	0.0416869	0.0339407	0.032986	0.184579	1	1	1	1	1	0.0533512	1.47281	27.606	0	0	fc372ee812e2ea34	5992884108ca1fae
DELTA	model.layers.6.mlp.down_proj.weight	[768,3072]	2359296	0.00993561	0.00429762	0.0162918	0.595433	1	0.999995	0.999531	0.995572	0.956222	0.890364	29.3106	32.9198	0	0	e96c772ff6206780	d11c13ca1b4404f0
DELTA	model.layers.6.mlp.gate_proj.weight	[3072,768]	2359296	0.00763219	0.00269355	0.0137668	0.307619	1	0.999997	0.99936	0.993424	0.934843	0.745423	24.178	32.4352	0	0	db0246740a80e18d	971da89d2fce51f3
DELTA	model.layers.6.mlp.up_proj.weight	[3072,768]	2359296	0.00772139	0.0030629	0.0139665	0.321453	1	0.999995	0.999441	0.994407	0.944564	0.75666	24.5127	32.3959	0	0	23afc5dd311435ed	c9cd9cf3801822e4
DELTA	model.layers.6.post_attention_layernorm.weight	[768]	768	0.057094	0.0426602	0.0506093	0.381634	1	1	1	1	0.998698	0.0764383	2.11376	27.6532	0	0	7e8d3be65526e686	ece3373a69450fe0
DELTA	model.layers.6.self_attn.k_proj.bias	[256]	256	0.0581273	0.0465502	0.0495101	0.233905	1	1	1	1	1	11.6372	1.22067	0.104894	0	0	d284bbd21504305b	3eae8fe0ff28b4a6
DELTA	model.layers.6.self_attn.k_proj.weight	[256,768]	196608	0.0452043	0.0372267	0.0355272	0.306474	1	1	0.999964	0.999588	0.996943	2.73403	25.4933	9.32446	0	0	0e0a6c546c12e9f2	5fff4da901168454
DELTA	model.layers.6.self_attn.o_proj.weight	[768,768]	589824	0.0103201	0.00521596	0.0151009	0.409369	1	0.999993	0.999688	0.99716	0.972332	0.875669	14.0471	16.0415	0	0	2f7b49796e1c8171	b73c2af7c459e884
DELTA	model.layers.6.self_attn.q_proj.bias	[768]	768	0.047797	0.0393213	0.0372132	0.224569	1	1	1	1	0.998698	9.66815	1.6783	0.173591	0	0	4c698c39401191f8	ea133aec76dbe698
DELTA	model.layers.6.self_attn.q_proj.weight	[768,768]	589824	0.047838	0.0396492	0.037349	0.339381	1	1	0.999973	0.999702	0.997148	2.88483	46.6109	16.1572	0	0	bc44c1b8a22a0105	84f611000daed5f8
DELTA	model.layers.6.self_attn.v_proj.bias	[256]	256	0.00379315	0.00242182	0.00393919	0.0239782	1	1	1	0.996094	0.980469	0.859802	0.0874083	0.101661	0	0	de9132762261b101	aba7976a36f7d554
DELTA	model.layers.6.self_attn.v_proj.weight	[256,768]	196608	0.0080704	0.00410023	0.0124094	0.258239	1	0.999995	0.999715	0.996648	0.967234	0.709496	6.56366	9.25116	0	0	8240a4707eb3c6ab	5cb282589629bac5
DELTA	model.layers.7.input_layernorm.weight	[768]	768	0.0405434	0.0353726	0.0294016	0.163948	1	1	1	1	0.998698	0.0502886	1.38761	27.5929	0	0	f9668f3aa0adea80	47fe05c7bc809571
DELTA	model.layers.7.mlp.down_proj.weight	[768,3072]	2359296	0.0117037	0.00510703	0.0186224	0.555666	1	0.999993	0.999612	0.996117	0.961641	1.02391	33.784	32.995	0	0	bbceb6704fb3e4b6	092fafc39c3fafc3
DELTA	model.layers.7.mlp.gate_proj.weight	[3072,768]	2359296	0.00934124	0.00319476	0.0165743	0.322531	1	0.999994	0.99941	0.99425	0.943135	0.898698	29.223	32.5171	0	0	9f2d859154490800	56c632d2b1fc8ea1
DELTA	model.layers.7.mlp.up_proj.weight	[3072,768]	2359296	0.0095964	0.00373012	0.0169346	0.399363	1	0.999995	0.999522	0.99533	0.953127	0.920425	29.8977	32.4825	0	0	1aa60f729167fd45	b5afeff59ebd6c0d
DELTA	model.layers.7.post_attention_layernorm.weight	[768]	768	0.0592113	0.0445303	0.0529808	0.352836	1	1	1	1	0.998698	0.079561	2.20126	27.6675	0	0	d09dbaba1fc083b2	d6e9e63b9ef965f0
DELTA	model.layers.7.self_attn.k_proj.bias	[256]	256	0.0455763	0.0274672	0.0442912	0.249089	1	1	1	1	1	9.56391	1.01587	0.106219	0	0	d5940f10d7902bf6	1149e90ecedacd2d
DELTA	model.layers.7.self_attn.k_proj.weight	[256,768]	196608	0.0386811	0.0292472	0.0343081	0.344812	1	1	0.999954	0.999583	0.995962	2.46637	22.9257	9.29529	0	0	f122299376d9094d	e1885ad60e11823d
DELTA	model.layers.7.self_attn.o_proj.weight	[768,768]	589824	0.00951717	0.00506264	0.0156246	0.545857	1	0.999998	0.999719	0.997336	0.972266	0.872016	14.0505	16.1127	0	0	9557282df5404a39	bdbd7e8c3fe2dfda
DELTA	model.layers.7.self_attn.q_proj.bias	[768]	768	0.0433368	0.0338188	0.0373211	0.304328	1	1	1	1	1	9.15727	1.58452	0.173034	0	0	d88eac0e45018043	7c310a1f785645e5
DELTA	model.layers.7.self_attn.q_proj.weight	[768,768]	589824	0.0405812	0.0316725	0.0344202	0.356072	1	0.999998	0.999949	0.999607	0.996133	2.525	40.8673	16.1851	0	0	b423ebc3724111dc	7287ee00b7757224
DELTA	model.layers.7.self_attn.v_proj.bias	[256]	256	0.00552647	0.00402378	0.00471848	0.021418	1	1	1	0.996094	0.996094	1.10949	0.116172	0.104708	0	0	b4dcd8c7ef8a9900	9871191ade0c0fe3
DELTA	model.layers.7.self_attn.v_proj.weight	[256,768]	196608	0.00839717	0.00457312	0.0120785	0.240871	1	1	0.999776	0.997086	0.970484	0.704813	6.52274	9.25458	0	0	77520297435bbb79	1fdcf89511e188a9
DELTA	model.layers.8.input_layernorm.weight	[768]	768	0.0530334	0.0424187	0.0436339	0.303712	1	1	1	1	1	0.0689456	1.90272	27.5974	0	0	0c1889fe4aa21840	66c6d66257659221
DELTA	model.layers.8.mlp.down_proj.weight	[768,3072]	2359296	0.0146201	0.00681267	0.0213632	0.579069	1	0.999996	0.999692	0.997059	0.970829	1.19965	39.7624	33.145	0	0	3e03b5cc61961670	758aae536daa6d8e
